T,800 ℃,950 ℃
Sr0.25Ba0.75Co0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Co0.125Mn0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Mn0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Mn0.375Ti0.5,2.11082,1.96866
Sr0.25Ba0.75Co0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Co0.25Cu0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Cu0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Co0.25Mg0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Mg0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.25Mn0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Mn0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Ni0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Cu0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Mg0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Mn0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Ni0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Cu0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Cu0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Cu0.125Mn0.125.75,2.6885,2.5598
Sr0.25Ba0.75Cu0.125Mn0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Mn0.375Ti0.5,2.11082,1.96866
Sr0.25Ba0.75Cu0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Cu0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Cu0.25Mg0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Mg0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.25Mn0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Mn0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Ni0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Mg0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Mn0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Ni0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Fe0.125Co0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Cu0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Mg0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Mn0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Ni0.125.75,2.00476,1.85968
Sr0.25Ba0.75Mg0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mg0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Mg0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Mg0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Mg0.25Ni0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Mg0.375Ni0.125Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Mn0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mn0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Mn0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Mn0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mn0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Mn0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Mn0.25Mg0.125.625,2.69303,2.55892
Sr0.25Ba0.75Mn0.25Mg0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Mn0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Mn0.25Ni0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Mn0.375Mg0.125Ti0.5,2.11082,1.96866
Sr0.25Ba0.75Mn0.375Ni0.125Ti0.5,2.11082,1.96866
Sr0.25Ca0.125K0.125Sm0.5Ti1,2.26908,2.20354
Sr0.25Ca0.125K0.125Y0.5Ti1,2.2103,2.13919
Sr0.25Ca0.125La0.5K0.125Ti1,2.26216,2.19899
Sr0.25Ca0.25K0.125Sm0.375Ti1,2.26939,2.20503
Sr0.25Ca0.25K0.125Y0.375Ti1,2.19885,2.13136
Sr0.25Ca0.25La0.375K0.125Ti1,2.2687,2.20436
Sr0.25Ca0.25Y0.5Fe0.25.75,2.66487,2.53245
Sr0.25Ca0.375K0.125Sm0.25Ti1,2.21217,2.14832
Sr0.25Ca0.375K0.125Y0.25Ti1,2.17512,2.11159
Sr0.25Ca0.375La0.25K0.125Ti1,2.24537,2.18561
Sr0.25Ca0.375Sm0.375Fe0.25.75,2.53939,2.40828
Sr0.25Ca0.375Y0.375Fe0.25.75,2.47124,2.33644
Sr0.25Ca0.5K0.125Sm0.125Ti1,2.11898,2.05131
Sr0.25Ca0.5K0.125Y0.125Ti1,2.06993,2.00111
Sr0.25Ca0.5La0.125K0.125Ti1,2.10236,2.03668
Sr0.25Ca0.5La0.25Fe0.25.75,2.38468,2.25014
Sr0.25Ca0.5Sm0.25Fe0.25.75,2.27307,2.13747
Sr0.25Ca0.5Y0.25Fe0.25.75,2.21893,2.07856
Sr0.25Ca0.625La0.125Fe0.25.75,2.14769,2.01447
Sr0.25Ca0.75Fe0.125Co0.125.75,2.55819,2.3825
Sr0.25Ca0.75Fe0.125Cu0.125.75,2.55819,2.3825
Sr0.25Ca0.75Fe0.125Mg0.125.75,2.55819,2.3825
Sr0.25Ca0.75Fe0.125Mn0.125.75,2.55819,2.3825
Sr0.25Ca0.75Fe0.125Ni0.125.75,2.55819,2.3825
Sr0.25K0.125Sm0.625Co0.125.875,1.93773,1.86877
Sr0.25K0.125Sm0.625Co0.25.75,1.94429,1.87114
Sr0.25K0.125Sm0.625Cu0.125.875,1.93773,1.86877
Sr0.25K0.125Sm0.625Cu0.25.75,1.94429,1.87114
Sr0.25K0.125Sm0.625Mg0.125.875,1.93773,1.86877
Sr0.25K0.125Sm0.625Mg0.25.75,1.94429,1.87114
Sr0.25K0.125Sm0.625Mn0.125.875,1.93773,1.86877
Sr0.25K0.125Sm0.625Mn0.25.75,1.94429,1.87114
Sr0.25K0.125Sm0.625Ni0.125.875,1.93773,1.86877
Sr0.25K0.125Sm0.625Ni0.25.75,1.94429,1.87114
Sr0.25K0.125Y0.125Sm0.5Ti1,2.31065,2.25124
Sr0.25K0.125Y0.25Sm0.375Ti1,2.30963,2.25096
Sr0.25K0.125Y0.375Sm0.25Ti1,2.25952,2.19828
Sr0.25K0.125Y0.5Sm0.125Ti1,2.27643,2.21257
Sr0.25La0.125K0.125Sm0.5Ti1,2.32592,2.26697
Sr0.25La0.125K0.125Y0.5Ti1,2.26384,2.20281
Sr0.25La0.25K0.125Sm0.375Ti1,2.36683,2.31181
Sr0.25La0.25K0.125Y0.375Ti1,2.29667,2.24117
Sr0.25La0.375K0.125Sm0.25Ti1,2.32333,2.25987
Sr0.25La0.375K0.125Y0.25Ti1,2.30166,2.23916
Sr0.25La0.5K0.125Sm0.125Ti1,2.32398,2.26524
Sr0.25La0.5K0.125Y0.125Ti1,2.30232,2.24453
Sr0.25La0.625K0.125Co0.125.875,1.97121,1.90155
Sr0.25La0.625K0.125Cu0.125.875,1.97121,1.90155
Sr0.25La0.625K0.125Mg0.125.875,1.97121,1.90155
Sr0.25La0.625K0.125Mn0.125.875,1.97121,1.90155
Sr0.25La0.625K0.125Ni0.125.875,1.97121,1.90155
Sr0.375Ba0.125Ca0.375K0.125Ti1,2.10283,2.03919
Sr0.375Ba0.125Ca0.5Fe0.125.875,2.27296,2.12229
Sr0.375Ba0.125K0.125Sm0.375Ti1,2.118,2.05574
Sr0.375Ba0.125K0.125Y0.375Ti1,2.10153,2.03476
Sr0.375Ba0.125La0.375K0.125Ti1,2.18902,2.12267
Sr0.375Ba0.125Sm0.5Fe0.25.75,2.68433,2.55111
Sr0.375Ba0.125Y0.5Fe0.25.75,2.73248,2.59349
Sr0.375Ba0.25Ca0.25K0.125Ti1,2.12402,2.05833
Sr0.375Ba0.25Ca0.375Fe0.125.875,2.49937,2.34542
Sr0.375Ba0.25K0.125Sm0.25Ti1,2.12201,2.05981
Sr0.375Ba0.25K0.125Y0.25Ti1,2.11061,2.04529
Sr0.375Ba0.25La0.25K0.125Ti1,2.18709,2.12694
Sr0.375Ba0.25Sm0.375Fe0.25.75,2.64061,2.50692
Sr0.375Ba0.25Y0.375Fe0.25.75,2.66412,2.52462
Sr0.375Ba0.375Ca0.125K0.125Ti1,2.08627,2.01866
Sr0.375Ba0.375Ca0.25Fe0.125.875,2.33977,2.1856
Sr0.375Ba0.375K0.125Sm0.125Ti1,2.09721,2.03446
Sr0.375Ba0.375K0.125Y0.125Ti1,2.08568,2.02013
Sr0.375Ba0.375La0.125K0.125Ti1,2.11246,2.04944
Sr0.375Ba0.375La0.25Fe0.25.75,2.67865,2.55278
Sr0.375Ba0.375Sm0.25Fe0.25.75,2.51121,2.37992
Sr0.375Ba0.375Y0.25Fe0.125.875,2.51243,2.37303
Sr0.375Ba0.375Y0.25Fe0.25.75,2.57018,2.43234
Sr0.375Ba0.5Ca0.125Fe0.125.875,2.20574,2.05842
Sr0.375Ba0.5La0.125Fe0.125.875,2.64727,2.51407
Sr0.375Ba0.5La0.125Fe0.25.75,2.47248,2.34988
Sr0.375Ba0.5Sm0.125Fe0.125.875,2.62918,2.49148
Sr0.375Ba0.5Sm0.125Fe0.25.75,2.19371,2.06075
Sr0.375Ba0.5Y0.125Fe0.125.875,2.45193,2.3168
Sr0.375Ba0.5Y0.125Fe0.25.75,2.05565,1.9235
Sr0.375Ba0.625Fe0.125Co0.125.75,2.27575,2.14501
Sr0.375Ba0.625Fe0.125Cu0.125.75,2.27575,2.14501
Sr0.375Ba0.625Fe0.125Mg0.125.75,2.27575,2.14501
Sr0.375Ba0.625Fe0.125Mn0.125.75,2.27575,2.14501
Sr0.375Ba0.625Fe0.125Ni0.125.75,2.27575,2.14501
Sr0.375Ca0.125K0.125Sm0.375Ti1,2.14593,2.08541
Sr0.375Ca0.125K0.125Y0.375Ti1,2.11983,2.05389
Sr0.375Ca0.125La0.375K0.125Ti1,2.21549,2.14791
Sr0.375Ca0.125Sm0.5Cu0.5Ti0.5,2.72232,2.60764
Sr0.375Ca0.125Sm0.5Fe0.25.75,2.48286,2.36034
Sr0.375Ca0.125Y0.5Cu0.5Ti0.5,2.65977,2.53963
Sr0.375Ca0.125Y0.5Fe0.25.75,2.5124,2.38511
Sr0.375Ca0.125Y0.5Fe0.375.625,2.49929,2.35537
Sr0.375Ca0.125Y0.5Mg0.5Ti0.5,2.72489,2.60515
Sr0.375Ca0.125Y0.5Mn0.625Ti0.375,2.53763,2.41741
Sr0.375Ca0.125Y0.5Ni0.5Ti0.5,2.70944,2.58785
Sr0.375Ca0.25K0.125Sm0.25Ti1,2.13483,2.07461
Sr0.375Ca0.25K0.125Y0.25Ti1,2.12756,2.06478
Sr0.375Ca0.25La0.25K0.125Ti1,2.19991,2.14174
Sr0.375Ca0.25La0.375Fe0.25.75,2.70644,2.58098
Sr0.375Ca0.25Sm0.375Cu0.5Ti0.5,2.63063,2.50466
Sr0.375Ca0.25Sm0.375Fe0.25.75,2.44878,2.32393
Sr0.375Ca0.25Sm0.375Mg0.5Ti0.5,2.68766,2.56398
Sr0.375Ca0.25Sm0.375Ni0.5Ti0.5,2.68898,2.56186
Sr0.375Ca0.25Y0.375Cu0.5Ti0.5,2.60291,2.47673
Sr0.375Ca0.25Y0.375Fe0.25.75,2.46886,2.33855
Sr0.375Ca0.25Y0.375Mg0.5Ti0.5,2.68578,2.55867
Sr0.375Ca0.25Y0.375Ni0.5Ti0.5,2.63053,2.50242
Sr0.375Ca0.375K0.125Sm0.125Ti1,2.13316,2.07405
Sr0.375Ca0.375K0.125Y0.125Ti1,2.12243,2.06112
Sr0.375Ca0.375La0.125K0.125Ti1,2.14286,2.08322
Sr0.375Ca0.375La0.25Co0.5Ti0.5,2.71242,2.60671
Sr0.375Ca0.375La0.25Cu0.5Ti0.5,2.54033,2.43588
Sr0.375Ca0.375La0.25Fe0.25.75,2.44622,2.32228
Sr0.375Ca0.375La0.25Mg0.5Ti0.5,2.65279,2.54623
Sr0.375Ca0.375La0.25Mn0.5Ti0.5,2.7177,2.61119
Sr0.375Ca0.375La0.25Ni0.5Ti0.5,2.52271,2.41612
Sr0.375Ca0.375Sm0.25Cu0.5Ti0.5,2.5897,2.4779
Sr0.375Ca0.375Sm0.25Fe0.25.75,2.32602,2.19739
Sr0.375Ca0.375Sm0.25Mg0.5Ti0.5,2.67016,2.56011
Sr0.375Ca0.375Sm0.25Ni0.5Ti0.5,2.58462,2.47215
Sr0.375Ca0.375Y0.25Co0.5Ti0.5,2.68913,2.57206
Sr0.375Ca0.375Y0.25Cu0.5Ti0.5,2.49356,2.37651
Sr0.375Ca0.375Y0.25Fe0.25.75,2.37195,2.23696
Sr0.375Ca0.375Y0.25Mg0.5Ti0.5,2.63181,2.51355
Sr0.375Ca0.375Y0.25Mn0.5Ti0.5,2.69172,2.57325
Sr0.375Ca0.375Y0.25Ni0.5Ti0.5,2.50034,2.38374
Sr0.375Ca0.5La0.125Fe0.125.875,2.6442,2.49682
Sr0.375Ca0.5La0.125Fe0.25.75,2.17442,2.05254
Sr0.375Ca0.5Sm0.125Fe0.125.875,2.64005,2.48599
Sr0.375Ca0.5Y0.125Fe0.125.875,2.42669,2.2751
Sr0.375Ca0.625Fe0.125Co0.125.75,2.03953,1.89211
Sr0.375Ca0.625Fe0.125Co0.25.625,2.11204,1.9612
Sr0.375Ca0.625Fe0.125Cu0.125.75,2.03953,1.89211
Sr0.375Ca0.625Fe0.125Cu0.25.625,2.11204,1.9612
Sr0.375Ca0.625Fe0.125Mg0.125.75,2.03953,1.89211
Sr0.375Ca0.625Fe0.125Mg0.25.625,2.11204,1.9612
Sr0.375Ca0.625Fe0.125Mn0.125.75,2.03953,1.89211
Sr0.375Ca0.625Fe0.125Mn0.25.625,2.11204,1.9612
Sr0.375Ca0.625Fe0.125Ni0.125.75,2.03953,1.89211
Sr0.375Ca0.625Fe0.125Ni0.25.625,2.11204,1.9612
Sr0.375K0.125Y0.125Sm0.375Ti1,2.18,2.12465
Sr0.375K0.125Y0.25Sm0.25Ti1,2.16215,2.10726
Sr0.375K0.125Y0.375Sm0.125Ti1,2.15214,2.095
Sr0.375La0.125K0.125Sm0.375Ti1,2.19528,2.14038
Sr0.375La0.125K0.125Y0.375Ti1,2.16588,2.10904
Sr0.375La0.125Sm0.5Co0.625Ti0.375,2.64358,2.53227
Sr0.375La0.125Sm0.5Fe0.5Ti0.5,2.24179,2.10766
Sr0.375La0.125Sm0.5Fe0.625Ti0.375,2.18906,2.07496
Sr0.375La0.125Y0.5Co0.625Ti0.375,2.73647,2.62243
Sr0.375La0.125Y0.5Fe0.5Ti0.5,2.35926,2.2373
Sr0.375La0.25K0.125Sm0.25Ti1,2.22861,2.17675
Sr0.375La0.25K0.125Y0.25Ti1,2.22714,2.17488
Sr0.375La0.25Sm0.375Co0.625Ti0.375,2.72455,2.61386
Sr0.375La0.25Sm0.375Fe0.5Ti0.5,2.41124,2.28932
Sr0.375La0.25Y0.375Co0.625Ti0.375,2.63982,2.52297
Sr0.375La0.25Y0.375Fe0.5Ti0.5,2.35933,2.23758
Sr0.375La0.375K0.125Sm0.125Ti1,2.25334,2.19107
Sr0.375La0.375K0.125Y0.125Ti1,2.24874,2.18552
Sr0.375La0.375Sm0.25Co0.625Ti0.375,2.70922,2.58406
Sr0.375La0.375Sm0.25Fe0.5Ti0.5,2.58724,2.46379
Sr0.375La0.375Y0.25Co0.625Ti0.375,2.72421,2.59792
Sr0.375La0.375Y0.25Fe0.5Ti0.5,2.58711,2.46473
Sr0.375La0.625Co0.25Mg0.375Ti0.375,2.58196,2.46431
Sr0.375La0.625Co0.25Ni0.375Ti0.375,2.66045,2.53643
Sr0.375La0.625Co0.375Mg0.25Ti0.375,2.7226,2.58698
Sr0.375La0.625Cu0.25Mg0.375Ti0.375,2.58918,2.47142
Sr0.375La0.625Cu0.25Ni0.375Ti0.375,2.6623,2.53779
Sr0.375La0.625Fe0.25Mg0.375Ti0.375,2.34324,2.22325
Sr0.375La0.625Fe0.25Ni0.375Ti0.375,2.45821,2.33274
Sr0.375La0.625Fe0.375Co0.25Ti0.375,2.51683,2.39249
Sr0.375La0.625Fe0.375Cu0.25Ti0.375,2.48888,2.36428
Sr0.375La0.625Fe0.375Mg0.25Ti0.375,2.41721,2.29153
Sr0.375La0.625Fe0.375Mn0.25Ti0.375,2.55076,2.42576
Sr0.375La0.625Fe0.375Ni0.25Ti0.375,2.5033,2.3783
Sr0.375La0.625Fe0.5Co0.125Ti0.375,2.53343,2.40346
Sr0.375La0.625Fe0.5Cu0.125Ti0.375,2.47017,2.33996
Sr0.375La0.625Fe0.5Mg0.125Ti0.375,2.52663,2.39653
Sr0.375La0.625Fe0.5Mn0.125Ti0.375,2.5045,2.37409
Sr0.375La0.625Fe0.5Ni0.125Ti0.375,2.52914,2.3986
Sr0.375La0.625Mg0.25Ni0.375Ti0.375,2.66045,2.53643
Sr0.375La0.625Mg0.375Ni0.25Ti0.375,2.58196,2.46431
Sr0.375La0.625Mn0.25Mg0.375Ti0.375,2.65103,2.53191
Sr0.375La0.625Mn0.25Ni0.375Ti0.375,2.71987,2.59525
Sr0.375Sm0.625Co0.125Mg0.5Ti0.375,2.35071,2.23558
Sr0.375Sm0.625Co0.125Ni0.5Ti0.375,2.73046,2.61469
Sr0.375Sm0.625Co0.25Mg0.375Ti0.375,2.51595,2.39521
Sr0.375Sm0.625Co0.375Mg0.25Ti0.375,2.58279,2.46431
Sr0.375Sm0.625Cu0.125Mg0.5Ti0.375,2.35071,2.23558
Sr0.375Sm0.625Cu0.125Ni0.5Ti0.375,2.72874,2.6122
Sr0.375Sm0.625Cu0.25Ni0.375Ti0.375,2.70956,2.59165
Sr0.375Sm0.625Fe0.125Mg0.5Ti0.375,2.34144,2.21751
Sr0.375Sm0.625Fe0.125Ni0.5Ti0.375,2.72888,2.60364
Sr0.375Sm0.625Fe0.25Co0.375Ti0.375,2.59914,2.47869
Sr0.375Sm0.625Fe0.25Mg0.375Ti0.375,2.24006,2.11135
Sr0.375Sm0.625Fe0.25Mn0.375Ti0.375,2.69365,2.56109
Sr0.375Sm0.625Fe0.25Ni0.375Ti0.375,2.49838,2.37361
Sr0.375Sm0.625Fe0.375Co0.25Ti0.375,2.70658,2.5762
Sr0.375Sm0.625Fe0.375Cu0.25Ti0.375,2.58206,2.45657
Sr0.375Sm0.625Fe0.375Mg0.25Ti0.375,2.33552,2.20132
Sr0.375Sm0.625Fe0.375Mn0.25Ti0.375,2.7346,2.60251
Sr0.375Sm0.625Fe0.375Ni0.25Ti0.375,2.72451,2.59909
Sr0.375Sm0.625Fe0.5Co0.125Ti0.375,2.30016,2.16873
Sr0.375Sm0.625Fe0.5Cu0.125Ti0.375,2.27194,2.1438
Sr0.375Sm0.625Fe0.5Mg0.125Ti0.375,2.31236,2.18483
Sr0.375Sm0.625Fe0.5Mn0.125Ti0.375,2.34839,2.21672
Sr0.375Sm0.625Fe0.5Ni0.125Ti0.375,2.35075,2.22252
Sr0.375Sm0.625Mg0.125Ni0.5Ti0.375,2.72772,2.61131
Sr0.375Sm0.625Mg0.25Ni0.375Ti0.375,2.62345,2.50164
Sr0.375Sm0.625Mg0.375Ni0.25Ti0.375,2.51289,2.39291
Sr0.375Sm0.625Mg0.5Ni0.125Ti0.375,2.35071,2.23558
Sr0.375Sm0.625Mn0.125Mg0.5Ti0.375,2.37113,2.25584
Sr0.375Sm0.625Mn0.375Mg0.25Ti0.375,2.65727,2.53138
Sr0.375Y0.125Sm0.5Co0.625Ti0.375,2.66794,2.55348
Sr0.375Y0.125Sm0.5Fe0.5Ti0.5,2.21371,2.07671
Sr0.375Y0.25Sm0.375Fe0.5Ti0.5,2.39014,2.26311
Sr0.375Y0.375Sm0.25Co0.625Ti0.375,2.62066,2.50213
Sr0.375Y0.375Sm0.25Fe0.5Ti0.5,2.33919,2.21186
Sr0.375Y0.5Sm0.125Co0.625Ti0.375,2.71955,2.60219
Sr0.375Y0.5Sm0.125Fe0.5Ti0.5,2.33095,2.20883
Sr0.375Y0.625Co0.125Ni0.5Ti0.375,2.48946,2.36734
Sr0.375Y0.625Co0.25Mg0.375Ti0.375,2.52041,2.40287
Sr0.375Y0.625Co0.375Cu0.25Ti0.375,2.70548,2.58414
Sr0.375Y0.625Co0.375Mg0.25Ti0.375,2.63511,2.51618
Sr0.375Y0.625Cu0.125Ni0.5Ti0.375,2.48002,2.35787
Sr0.375Y0.625Cu0.25Mg0.375Ti0.375,2.45649,2.33683
Sr0.375Y0.625Cu0.25Mn0.375Ti0.375,2.73488,2.61384
Sr0.375Y0.625Cu0.25Ni0.375Ti0.375,2.61513,2.49335
Sr0.375Y0.625Fe0.125Ni0.5Ti0.375,2.51125,2.38247
Sr0.375Y0.625Fe0.25Mg0.375Ti0.375,2.29934,2.17918
Sr0.375Y0.625Fe0.25Ni0.375Ti0.375,2.63816,2.51415
Sr0.375Y0.625Fe0.375Cu0.25Ti0.375,2.4652,2.33951
Sr0.375Y0.625Fe0.375Mg0.25Ti0.375,2.36222,2.23921
Sr0.375Y0.625Fe0.5Co0.125Ti0.375,2.37405,2.25495
Sr0.375Y0.625Fe0.5Cu0.125Ti0.375,2.25435,2.13303
Sr0.375Y0.625Fe0.5Mg0.125Ti0.375,2.34258,2.22469
Sr0.375Y0.625Fe0.5Mn0.125Ti0.375,2.38991,2.27042
Sr0.375Y0.625Fe0.5Ni0.125Ti0.375,2.33302,2.21459
Sr0.375Y0.625Mg0.125Ni0.5Ti0.375,2.48391,2.36248
Sr0.375Y0.625Mg0.25Ni0.375Ti0.375,2.57305,2.45298
Sr0.375Y0.625Mg0.375Ni0.25Ti0.375,2.52041,2.40287
Sr0.375Y0.625Mn0.125Ni0.5Ti0.375,2.50817,2.38652
Sr0.375Y0.625Mn0.25Mg0.375Ti0.375,2.50486,2.3858
Sr0.375Y0.625Mn0.375Mg0.25Ti0.375,2.64722,2.52775
Sr0.5Ba0.125Ca0.375Fe0.125.875,2.21487,2.0601
Sr0.5Ba0.125La0.375Cu0.5Ti0.5,2.67626,2.54311
Sr0.5Ba0.125La0.375Fe0.25.75,2.65786,2.51821
Sr0.5Ba0.125La0.375Mg0.5Ti0.5,2.73788,2.60638
Sr0.5Ba0.125Sm0.375Fe0.25.75,2.53721,2.40469
Sr0.5Ba0.125Y0.375Cu0.5Ti0.5,2.53144,2.39875
Sr0.5Ba0.125Y0.375Fe0.125.875,2.64705,2.50838
