T,800 ℃,950 ℃
Sr0.5Ba0.125Y0.375Fe0.25.75,2.59553,2.45709
Sr0.5Ba0.125Y0.375Mg0.5Ti0.5,2.67609,2.54641
Sr0.5Ba0.125Y0.375Ni0.5Ti0.5,2.62048,2.48967
Sr0.5Ba0.25Ca0.25Fe0.125.875,2.25568,2.1017
Sr0.5Ba0.25La0.25Fe0.25.75,2.58111,2.44934
Sr0.5Ba0.25Sm0.25Fe0.25.75,2.49155,2.35873
Sr0.5Ba0.25Y0.25Fe0.125.875,2.57591,2.43879
Sr0.5Ba0.25Y0.25Fe0.25.75,2.58126,2.43888
Sr0.5Ba0.375Ca0.125Fe0.25.75,1.97079,1.85298
Sr0.5Ba0.375La0.125Fe0.125.875,2.48723,2.34974
Sr0.5Ba0.375La0.125Fe0.25.75,2.59689,2.47712
Sr0.5Ba0.375Sm0.125Fe0.125.875,2.46982,2.32803
Sr0.5Ba0.375Sm0.125Fe0.25.75,2.38851,2.26193
Sr0.5Ba0.375Y0.125Fe0.125.875,2.28166,2.14098
Sr0.5Ba0.375Y0.125Fe0.25.75,2.28128,2.15556
Sr0.5Ba0.5Fe0.125Co0.125.75,2.11884,1.98668
Sr0.5Ba0.5Fe0.125Cu0.125.75,2.11884,1.98668
Sr0.5Ba0.5Fe0.125Mg0.125.75,2.11884,1.98668
Sr0.5Ba0.5Fe0.125Mn0.125.75,2.11884,1.98668
Sr0.5Ba0.5Fe0.125Ni0.125.75,2.11884,1.98668
Sr0.5Ca0.125La0.375Co0.5Ti0.5,2.64986,2.52807
Sr0.5Ca0.125La0.375Cu0.5Ti0.5,2.55579,2.43358
Sr0.5Ca0.125La0.375Fe0.25.75,2.37545,2.24663
Sr0.5Ca0.125La0.375Mg0.5Ti0.5,2.56882,2.44615
Sr0.5Ca0.125La0.375Mn0.5Ti0.5,2.70698,2.58324
Sr0.5Ca0.125La0.375Ni0.5Ti0.5,2.575,2.45319
Sr0.5Ca0.125Sm0.375Co0.5Ti0.5,2.56029,2.44144
Sr0.5Ca0.125Sm0.375Cu0.5Ti0.5,2.36505,2.24759
Sr0.5Ca0.125Sm0.375Fe0.25.75,2.29753,2.17855
Sr0.5Ca0.125Sm0.375Mg0.5Ti0.5,2.44244,2.32731
Sr0.5Ca0.125Sm0.375Mn0.5Ti0.5,2.55349,2.43424
Sr0.5Ca0.125Sm0.375Ni0.5Ti0.5,2.44675,2.32798
Sr0.5Ca0.125Y0.375Co0.5Ti0.5,2.55826,2.44111
Sr0.5Ca0.125Y0.375Cu0.5Ti0.5,2.37407,2.25403
Sr0.5Ca0.125Y0.375Fe0.25.75,2.34154,2.21639
Sr0.5Ca0.125Y0.375Mg0.5Ti0.5,2.45441,2.33526
Sr0.5Ca0.125Y0.375Mn0.5Ti0.5,2.58441,2.46475
Sr0.5Ca0.125Y0.375Ni0.5Ti0.5,2.40392,2.28378
Sr0.5Ca0.25La0.25Co0.5Ti0.5,2.4025,2.28267
Sr0.5Ca0.25La0.25Cu0.5Ti0.5,2.26442,2.14534
Sr0.5Ca0.25La0.25Fe0.25.75,2.35671,2.23295
Sr0.5Ca0.25La0.25Mg0.5Ti0.5,2.34287,2.22218
Sr0.5Ca0.25La0.25Mn0.5Ti0.5,2.40778,2.28715
Sr0.5Ca0.25La0.25Ni0.5Ti0.5,2.30285,2.18188
Sr0.5Ca0.25Sm0.25Co0.5Ti0.5,2.46146,2.33816
Sr0.5Ca0.25Sm0.25Cu0.5Ti0.5,2.3044,2.18312
Sr0.5Ca0.25Sm0.25Fe0.25.75,2.29241,2.16965
Sr0.5Ca0.25Sm0.25Mg0.5Ti0.5,2.36519,2.24528
Sr0.5Ca0.25Sm0.25Mn0.5Ti0.5,2.45624,2.33367
Sr0.5Ca0.25Sm0.25Ni0.5Ti0.5,2.35348,2.2298
Sr0.5Ca0.25Y0.25Co0.5Ti0.5,2.41585,2.28694
Sr0.5Ca0.25Y0.25Cu0.5Ti0.5,2.24515,2.11489
Sr0.5Ca0.25Y0.25Fe0.125.875,2.67195,2.51094
Sr0.5Ca0.25Y0.25Fe0.25.75,2.39192,2.26022
Sr0.5Ca0.25Y0.25Mg0.5Ti0.5,2.35853,2.22843
Sr0.5Ca0.25Y0.25Mn0.5Ti0.5,2.41844,2.28813
Sr0.5Ca0.25Y0.25Ni0.5Ti0.5,2.30125,2.17176
Sr0.5Ca0.375La0.125Fe0.25.75,2.23874,2.11879
Sr0.5Ca0.375Sm0.125Fe0.25.75,1.97009,1.8442
Sr0.5Ca0.375Y0.125Fe0.125.875,2.65942,2.50413
Sr0.5La0.125Y0.375Fe0.5Ti0.5,2.03752,1.91091
Sr0.5La0.25K0.125Sm0.125Ti1,1.94639,1.88776
Sr0.5La0.25K0.125Y0.125Ti1,1.94428,1.88749
Sr0.5La0.375Sm0.125Fe0.5Ti0.5,2.31711,2.21079
Sr0.5La0.375Y0.125Fe0.5Ti0.5,2.28635,2.1815
Sr0.5La0.5Co0.25Mn0.375Ti0.375,2.71467,2.57216
Sr0.5La0.5Fe0.125Co0.5Ti0.375,2.72851,2.6041
Sr0.5La0.5Fe0.25Co0.375Ti0.375,2.55517,2.4306
Sr0.5La0.5Fe0.25Mn0.375Ti0.375,2.73371,2.60288
Sr0.5La0.5Mn0.375Mg0.25Ti0.375,2.6481,2.50551
Sr0.5La0.5Mn0.375Ni0.25Ti0.375,2.71467,2.57216
Sr0.5Sm0.5Co0.125Mn0.5Ti0.375,2.69415,2.57348
Sr0.5Sm0.5Co0.25Mn0.375Ti0.375,2.68439,2.56505
Sr0.5Sm0.5Co0.375Mg0.25Ti0.375,2.23498,2.11794
Sr0.5Sm0.5Co0.375Mn0.25Ti0.375,2.64927,2.53141
Sr0.5Sm0.5Co0.375Ni0.25Ti0.375,2.65005,2.53205
Sr0.5Sm0.5Co0.5Cu0.125Ti0.375,2.63874,2.52266
Sr0.5Sm0.5Co0.5Mg0.125Ti0.375,2.61741,2.50237
Sr0.5Sm0.5Co0.5Mn0.125Ti0.375,2.63481,2.51863
Sr0.5Sm0.5Co0.5Ni0.125Ti0.375,2.63544,2.5189
Sr0.5Sm0.5Cu0.125Mn0.5Ti0.375,2.70829,2.58744
Sr0.5Sm0.5Cu0.25Mn0.375Ti0.375,2.5235,2.40506
Sr0.5Sm0.5Fe0.125Co0.5Ti0.375,2.71073,2.59647
Sr0.5Sm0.5Fe0.25Co0.25Ti0.5,2.36967,2.23267
Sr0.5Sm0.5Fe0.25Co0.375Ti0.375,2.2515,2.13003
Sr0.5Sm0.5Fe0.25Cu0.25Ti0.5,2.36067,2.22377
Sr0.5Sm0.5Fe0.25Mg0.25Ti0.5,2.29253,2.15664
Sr0.5Sm0.5Fe0.25Mn0.25Ti0.5,2.38859,2.25014
Sr0.5Sm0.5Fe0.25Mn0.375Ti0.375,2.33121,2.20772
Sr0.5Sm0.5Fe0.25Ni0.25Ti0.5,2.39077,2.25228
Sr0.5Sm0.5Fe0.375Co0.125Ti0.5,2.41665,2.27513
Sr0.5Sm0.5Fe0.375Cu0.125Ti0.5,2.42642,2.28514
Sr0.5Sm0.5Fe0.375Mg0.125Ti0.5,2.4247,2.28301
Sr0.5Sm0.5Fe0.375Mn0.125Ti0.5,2.4317,2.29025
Sr0.5Sm0.5Fe0.375Ni0.125Ti0.5,2.43105,2.28939
Sr0.5Sm0.5Mn0.375Mg0.25Ti0.375,2.24259,2.12352
Sr0.5Sm0.5Mn0.375Ni0.25Ti0.375,2.70976,2.58893
Sr0.5Sm0.5Mn0.5Mg0.125Ti0.375,2.69225,2.57207
Sr0.5Sm0.5Mn0.5Ni0.125Ti0.375,2.7125,2.59093
Sr0.5Y0.375Sm0.125Fe0.5Ti0.5,2.00253,1.87529
Sr0.5Y0.5Co0.125Mn0.5Ti0.375,2.71414,2.58824
Sr0.5Y0.5Co0.125Ni0.5Ti0.375,2.07405,1.95041
Sr0.5Y0.5Co0.25Mn0.375Ti0.375,2.72464,2.59895
Sr0.5Y0.5Co0.25Ni0.375Ti0.375,2.49343,2.36899
Sr0.5Y0.5Co0.375Cu0.25Ti0.375,2.43591,2.3109
Sr0.5Y0.5Co0.375Mg0.25Ti0.375,2.246,2.12336
Sr0.5Y0.5Co0.375Mn0.25Ti0.375,2.72952,2.60448
Sr0.5Y0.5Co0.375Ni0.25Ti0.375,2.66947,2.54432
Sr0.5Y0.5Co0.5Cu0.125Ti0.375,2.5693,2.44555
Sr0.5Y0.5Co0.5Mg0.125Ti0.375,2.48048,2.35677
Sr0.5Y0.5Co0.5Mn0.125Ti0.375,2.58962,2.46653
Sr0.5Y0.5Co0.5Ni0.125Ti0.375,2.57708,2.45391
Sr0.5Y0.5Cu0.125Mn0.5Ti0.375,2.66619,2.54008
Sr0.5Y0.5Cu0.125Ni0.5Ti0.375,2.07517,1.9515
Sr0.5Y0.5Cu0.25Mn0.375Ti0.375,2.44565,2.3205
Sr0.5Y0.5Fe0.125Co0.5Ti0.375,2.60618,2.48521
Sr0.5Y0.5Fe0.125Mn0.5Ti0.375,2.70084,2.57523
Sr0.5Y0.5Fe0.125Ni0.5Ti0.375,2.03237,1.90734
Sr0.5Y0.5Fe0.25Co0.25Ti0.5,2.60732,2.47654
Sr0.5Y0.5Fe0.25Co0.375Ti0.375,2.39823,2.27192
Sr0.5Y0.5Fe0.25Cu0.25Ti0.5,2.54481,2.41364
Sr0.5Y0.5Fe0.25Mg0.25Ti0.5,2.48986,2.36011
Sr0.5Y0.5Fe0.25Mn0.25Ti0.5,2.60441,2.47377
Sr0.5Y0.5Fe0.25Mn0.375Ti0.375,2.4128,2.28642
Sr0.5Y0.5Fe0.25Ni0.25Ti0.5,2.58845,2.45791
Sr0.5Y0.5Fe0.25Ni0.375Ti0.375,2.18483,2.05843
Sr0.5Y0.5Fe0.375Co0.125Ti0.5,2.4419,2.31295
Sr0.5Y0.5Fe0.375Cu0.125Ti0.5,2.43151,2.3026
Sr0.5Y0.5Fe0.375Mg0.125Ti0.5,2.4322,2.30437
Sr0.5Y0.5Fe0.375Mn0.125Ti0.5,2.4419,2.31295
Sr0.5Y0.5Fe0.375Ni0.125Ti0.5,2.42303,2.29432
Sr0.5Y0.5Mg0.125Ni0.5Ti0.375,1.99391,1.86965
Sr0.5Y0.5Mn0.125Ni0.5Ti0.375,2.08378,1.96001
Sr0.5Y0.5Mn0.25Ni0.375Ti0.375,2.50316,2.37859
Sr0.5Y0.5Mn0.375Mg0.25Ti0.375,2.25574,2.13296
Sr0.5Y0.5Mn0.375Ni0.25Ti0.375,2.67432,2.54839
Sr0.5Y0.5Mn0.5Mg0.125Ti0.375,2.58983,2.46508
Sr0.5Y0.5Mn0.5Ni0.125Ti0.375,2.65935,2.53368
Sr0.625Ba0.125Ca0.125K0.125Ti1,2.45678,2.38739
Sr0.625Ba0.125Ca0.25Fe0.125.875,2.07278,1.91341
Sr0.625Ba0.125K0.125Sm0.125Ti1,2.48722,2.42178
Sr0.625Ba0.125K0.125Y0.125Ti1,2.44227,2.37235
Sr0.625Ba0.125La0.125K0.125Ti1,2.46206,2.39247
Sr0.625Ba0.125La0.25Fe0.125.875,2.73181,2.5926
Sr0.625Ba0.125La0.25Fe0.25.75,2.68426,2.56033
Sr0.625Ba0.125Sm0.25Fe0.125.875,2.65661,2.50279
Sr0.625Ba0.125Sm0.25Fe0.25.75,2.55353,2.42194
Sr0.625Ba0.125Y0.25Fe0.125.875,2.41069,2.26508
Sr0.625Ba0.125Y0.25Fe0.25.75,2.66838,2.52395
Sr0.625Ba0.25Ca0.125Fe0.125.875,2.04379,1.89136
Sr0.625Ba0.25La0.125Fe0.125.875,2.62822,2.48905
Sr0.625Ba0.25La0.125Fe0.25.75,2.51443,2.39353
Sr0.625Ba0.25Sm0.125Fe0.125.875,2.62786,2.48395
Sr0.625Ba0.25Sm0.125Fe0.25.75,2.25823,2.12413
Sr0.625Ba0.25Y0.125Fe0.125.875,2.45628,2.31328
Sr0.625Ba0.25Y0.125Fe0.25.75,2.03844,1.90242
Sr0.625Ba0.375Fe0.125Co0.125.75,2.10882,1.97046
Sr0.625Ba0.375Fe0.125Cu0.125.75,2.10882,1.97046
Sr0.625Ba0.375Fe0.125Mg0.125.75,2.10882,1.97046
Sr0.625Ba0.375Fe0.125Mn0.125.75,2.10882,1.97046
Sr0.625Ba0.375Fe0.125Ni0.125.75,2.10882,1.97046
Sr0.625Ca0.125K0.125Sm0.125Ti1,2.5212,2.45822
Sr0.625Ca0.125K0.125Y0.125Ti1,2.47969,2.41552
Sr0.625Ca0.125La0.125K0.125Ti1,2.48881,2.42154
Sr0.625Ca0.125La0.25Co0.5Ti0.5,2.4239,2.31492
Sr0.625Ca0.125La0.25Cu0.5Ti0.5,2.29178,2.18379
Sr0.625Ca0.125La0.25Fe0.25.75,2.39968,2.28645
Sr0.625Ca0.125La0.25Mg0.5Ti0.5,2.38147,2.27185
Sr0.625Ca0.125La0.25Mn0.5Ti0.5,2.4239,2.31492
Sr0.625Ca0.125La0.25Ni0.5Ti0.5,2.30151,2.19506
Sr0.625Ca0.125Sm0.25Co0.5Ti0.5,2.52632,2.41077
Sr0.625Ca0.125Sm0.25Cu0.5Ti0.5,2.3377,2.22387
Sr0.625Ca0.125Sm0.25Fe0.25.75,2.30715,2.18882
Sr0.625Ca0.125Sm0.25Mg0.5Ti0.5,2.43476,2.32139
Sr0.625Ca0.125Sm0.25Mn0.5Ti0.5,2.53743,2.4214
Sr0.625Ca0.125Sm0.25Ni0.5Ti0.5,2.42659,2.31149
Sr0.625Ca0.125Y0.25Co0.5Ti0.5,2.4703,2.34924
Sr0.625Ca0.125Y0.25Cu0.5Ti0.5,2.25305,2.13216
Sr0.625Ca0.125Y0.25Fe0.125.875,2.66572,2.50848
Sr0.625Ca0.125Y0.25Fe0.25.75,2.42178,2.29175
Sr0.625Ca0.125Y0.25Mg0.5Ti0.5,2.41668,2.29472
Sr0.625Ca0.125Y0.25Mn0.5Ti0.5,2.4736,2.35078
Sr0.625Ca0.125Y0.25Ni0.5Ti0.5,2.33649,2.21479
Sr0.625Ca0.25La0.125Fe0.25.75,2.30233,2.18972
Sr0.625Ca0.25Sm0.125Fe0.25.75,2.01705,1.89419
Sr0.625Ca0.25Y0.125Fe0.125.875,2.61261,2.44947
Sr0.625Ca0.375Fe0.125Co0.125.75,2.11667,1.97362
Sr0.625Ca0.375Fe0.125Co0.25.625,2.1537,2.0052
Sr0.625Ca0.375Fe0.125Cu0.125.75,2.11667,1.97362
Sr0.625Ca0.375Fe0.125Cu0.25.625,2.1537,2.0052
Sr0.625Ca0.375Fe0.125Mg0.125.75,2.11667,1.97362
Sr0.625Ca0.375Fe0.125Mg0.25.625,2.1537,2.0052
Sr0.625Ca0.375Fe0.125Mn0.125.75,2.11667,1.97362
Sr0.625Ca0.375Fe0.125Mn0.25.625,2.1537,2.0052
Sr0.625Ca0.375Fe0.125Ni0.125.75,2.11667,1.97362
Sr0.625Ca0.375Fe0.125Ni0.25.625,2.1537,2.0052
Sr0.625K0.125Y0.125Sm0.125Ti1,2.51888,2.45775
Sr0.625La0.125K0.125Sm0.125Ti1,2.50571,2.44182
Sr0.625La0.125K0.125Y0.125Ti1,2.48342,2.41808
Sr0.625La0.125Y0.25Cu0.5Ti0.5,2.73783,2.61154
Sr0.625La0.25K0.125Co0.125.875,2.0049,1.93659
Sr0.625La0.25K0.125Cu0.125.875,2.0049,1.93659
Sr0.625La0.25K0.125Mg0.125.875,2.0049,1.93659
Sr0.625La0.25K0.125Mn0.125.875,2.0049,1.93659
Sr0.625La0.25K0.125Ni0.125.875,2.0049,1.93659
Sr0.625La0.375Fe0.25Co0.25Ti0.5,2.71036,2.5958
Sr0.625La0.375Fe0.25Cu0.25Ti0.5,2.69229,2.57792
Sr0.625La0.375Fe0.25Mg0.25Ti0.5,2.66962,2.55438
Sr0.625La0.375Fe0.25Mn0.25Ti0.5,2.73027,2.61548
Sr0.625La0.375Fe0.25Ni0.25Ti0.5,2.71036,2.5958
Sr0.625La0.375Fe0.375Co0.125Ti0.5,2.66973,2.55059
Sr0.625La0.375Fe0.375Cu0.125Ti0.5,2.66973,2.55059
Sr0.625La0.375Fe0.375Mg0.125Ti0.5,2.66973,2.55059
Sr0.625La0.375Fe0.375Mn0.125Ti0.5,2.68964,2.57027
Sr0.625La0.375Fe0.375Ni0.125Ti0.5,2.66973,2.55059
Sr0.625Sm0.375Fe0.25Co0.25Ti0.5,2.66268,2.5324
Sr0.625Sm0.375Fe0.25Cu0.25Ti0.5,2.59699,2.46719
Sr0.625Sm0.375Fe0.25Mg0.25Ti0.5,2.58116,2.45192
Sr0.625Sm0.375Fe0.25Mn0.25Ti0.5,2.66693,2.53574
Sr0.625Sm0.375Fe0.25Ni0.25Ti0.5,2.65834,2.52736
Sr0.625Y0.375Fe0.25Co0.25Ti0.5,2.6777,2.54044
Sr0.625Y0.375Fe0.25Cu0.25Ti0.5,2.58964,2.45211
Sr0.625Y0.375Fe0.25Mg0.25Ti0.5,2.63264,2.49599
Sr0.625Y0.375Fe0.25Mn0.25Ti0.5,2.66983,2.53242
Sr0.625Y0.375Fe0.25Ni0.25Ti0.5,2.66312,2.5259
Sr0.625Y0.375Fe0.375Co0.125Ti0.5,2.53056,2.39376
Sr0.625Y0.375Fe0.375Cu0.125Ti0.5,2.52098,2.38423
Sr0.625Y0.375Fe0.375Mg0.125Ti0.5,2.44996,2.31364
Sr0.625Y0.375Fe0.375Mn0.125Ti0.5,2.53056,2.39376
Sr0.625Y0.375Fe0.375Ni0.125Ti0.5,2.51597,2.37922
Sr0.75Ba0.125Ca0.125Fe0.125.875,2.28107,2.12637
Sr0.75Ba0.125La0.125Fe0.25.75,2.47866,2.35665
Sr0.75Ba0.125Sm0.125Fe0.25.75,2.20003,2.06148
Sr0.75Ba0.125Y0.125Fe0.125.875,2.56831,2.42587
Sr0.75Ba0.25Fe0.125Co0.125.75,2.43317,2.2973
Sr0.75Ba0.25Fe0.125Cu0.125.75,2.43317,2.2973
Sr0.75Ba0.25Fe0.125Mg0.125.75,2.43317,2.2973
Sr0.75Ba0.25Fe0.125Mn0.125.75,2.43317,2.2973
Sr0.75Ba0.25Fe0.125Ni0.125.75,2.43317,2.2973
Sr0.75Ca0.125La0.125Fe0.25.75,2.29844,2.1918
Sr0.75Ca0.125Sm0.125Fe0.25.75,1.9956,1.87769
Sr0.75Ca0.25Fe0.125Co0.125.75,2.26245,2.10593
Sr0.75Ca0.25Fe0.125Co0.25.625,2.25921,2.09098
Sr0.75Ca0.25Fe0.125Cu0.125.75,2.26245,2.10593
Sr0.75Ca0.25Fe0.125Cu0.25.625,2.25921,2.09098
Sr0.75Ca0.25Fe0.125Mg0.125.75,2.26245,2.10593
Sr0.75Ca0.25Fe0.125Mg0.25.625,2.25921,2.09098
Sr0.75Ca0.25Fe0.125Mn0.125.75,2.26245,2.10593
Sr0.75Ca0.25Fe0.125Mn0.25.625,2.25921,2.09098
Sr0.75Ca0.25Fe0.125Ni0.125.75,2.26245,2.10593
Sr0.75Ca0.25Fe0.125Ni0.25.625,2.25921,2.09098
Sr0.75K0.125Sm0.125Co0.125.875,2.00318,1.91912
Sr0.75K0.125Sm0.125Cu0.125.875,2.00318,1.91912
Sr0.75K0.125Sm0.125Mg0.125.875,2.00318,1.91912
Sr0.75K0.125Sm0.125Mn0.125.875,2.00318,1.91912
Sr0.75K0.125Sm0.125Ni0.125.875,2.00318,1.91912
Sr0.75K0.125Y0.125Co0.125.875,1.94058,1.85851
Sr0.75K0.125Y0.125Cu0.125.875,1.94058,1.85851
Sr0.75K0.125Y0.125Mg0.125.875,1.94058,1.85851
Sr0.75K0.125Y0.125Mn0.125.875,1.94058,1.85851
Sr0.75K0.125Y0.125Ni0.125.875,1.94058,1.85851
Sr0.75La0.125K0.125Co0.125.875,2.0231,1.94259
Sr0.75La0.125K0.125Co0.25.75,1.96249,1.88045
Sr0.75La0.125K0.125Cu0.125.875,2.0231,1.94259
Sr0.75La0.125K0.125Cu0.25.75,1.96249,1.88045
Sr0.75La0.125K0.125Mg0.125.875,2.0231,1.94259
Sr0.75La0.125K0.125Mg0.25.75,1.96249,1.88045
Sr0.75La0.125K0.125Mn0.125.875,2.0231,1.94259
Sr0.75La0.125K0.125Mn0.25.75,1.96249,1.88045
Sr0.75La0.125K0.125Ni0.125.875,2.0231,1.94259
Sr0.75La0.125K0.125Ni0.25.75,1.96249,1.88045
Sr0.875Ba0.125Co0.125Cu0.125.75,2.72773,2.58505
Sr0.875Ba0.125Co0.125Cu0.25.625,2.68224,2.53906
Sr0.875Ba0.125Co0.125Mg0.125.75,2.72773,2.58505
Sr0.875Ba0.125Co0.125Mg0.25.625,2.68224,2.53906
Sr0.875Ba0.125Co0.125Mn0.125.75,2.72773,2.58505
Sr0.875Ba0.125Co0.125Mn0.25.625,2.68224,2.53906
Sr0.875Ba0.125Co0.125Ni0.125.75,2.72773,2.58505
Sr0.875Ba0.125Co0.125Ni0.25.625,2.68224,2.53906
Sr0.875Ba0.125Co0.25Cu0.125.625,2.68224,2.53906
Sr0.875Ba0.125Co0.25Mg0.125.625,2.68224,2.53906
Sr0.875Ba0.125Co0.25Mn0.125.625,2.68224,2.53906
Sr0.875Ba0.125Co0.25Ni0.125.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.125Mg0.125.75,2.72773,2.58505
Sr0.875Ba0.125Cu0.125Mg0.25.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.125Mn0.125.75,2.72773,2.58505
Sr0.875Ba0.125Cu0.125Mn0.25.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.125Ni0.125.75,2.72773,2.58505
Sr0.875Ba0.125Cu0.125Ni0.25.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.25Mg0.125.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.25Mn0.125.625,2.68224,2.53906
Sr0.875Ba0.125Cu0.25Ni0.125.625,2.68224,2.53906
Sr0.875Ba0.125Mg0.125Ni0.125.75,2.72773,2.58505
Sr0.875Ba0.125Mg0.125Ni0.25.625,2.68224,2.53906
Sr0.875Ba0.125Mg0.25Ni0.125.625,2.68224,2.53906
Sr0.875Ba0.125Mn0.125Mg0.125.75,2.72773,2.58505
Sr0.875Ba0.125Mn0.125Mg0.25.625,2.68224,2.53906
Sr0.875Ba0.125Mn0.125Ni0.125.75,2.72773,2.58505
Sr0.875Ba0.125Mn0.125Ni0.25.625,2.68224,2.53906
Sr0.875Ba0.125Mn0.25Mg0.125.625,2.68224,2.53906
Sr0.875Ba0.125Mn0.25Ni0.125.625,2.68224,2.53906
Sr0.875Ca0.125Co0.125Cu0.125.75,2.56805,2.46082
Sr0.875Ca0.125Co0.125Mg0.125.75,2.56805,2.46082
Sr0.875Ca0.125Co0.125Mn0.125.75,2.56805,2.46082
Sr0.875Ca0.125Co0.125Ni0.125.75,2.56805,2.46082
Sr0.875Ca0.125Cu0.125Mg0.125.75,2.56805,2.46082
Sr0.875Ca0.125Cu0.125Mn0.125.75,2.56805,2.46082
Sr0.875Ca0.125Cu0.125Ni0.125.75,2.56805,2.46082
Sr0.875Ca0.125Mg0.125Ni0.125.75,2.56805,2.46082
Sr0.875Ca0.125Mn0.125Mg0.125.75,2.56805,2.46082
Sr0.875Ca0.125Mn0.125Ni0.125.75,2.56805,2.46082
Sr1Fe0.125Co0.125Cu0.125.625,2.69741,2.60166
Sr1Fe0.125Co0.125Mg0.125.625,2.69741,2.60166
Sr1Fe0.125Co0.125Mn0.125.625,2.69741,2.60166
Sr1Fe0.125Co0.125Ni0.125.625,2.69741,2.60166
Sr1Fe0.125Cu0.125Mg0.125.625,2.69741,2.60166
Sr1Fe0.125Cu0.125Mn0.125.625,2.69741,2.60166
Sr1Fe0.125Cu0.125Ni0.125.625,2.69741,2.60166
Sr1Fe0.125Mg0.125Ni0.125.625,2.69741,2.60166
Sr1Fe0.125Mn0.125Mg0.125.625,2.69741,2.60166
Sr1Fe0.125Mn0.125Ni0.125.625,2.69741,2.60166
